id	type	pin	x	y
1	resistor	A	20	0
2		B	20	60
3	ldr	A	20	0
4		B	20	60
5	potentiometer	Start	20	60
6		Wiper	0	40
7		End	20	0
8	spst	1	20	0
9		2	20	60
10	spdt	1	20	0
11		2	20	60
12		3	40	60
13	dpdt1	1	0	20
14		2	0	40
15		3	0	60
16		4	60	60
17		5	60	40
18		6	60	20
19	dpdt2	1	60	20
20		2	0	40
21		3	60	40
22		4	60	80
23		5	0	80
24		6	60	60
25	capacitor	A	20	0
26		B	20	60
27	capacitor_pol	A	20	0
28		B	20	60
29	diode	A	20	0
30		B	20	60
31	led	A	20	0
32		B	20	60
33	connector	A	0	20
34	ground	GND	20	0
35	dc_voltage_supply	P	20	0
36		N	20	60
37	transistor_n_jfet	D	40	0
38		G	0	20
39		S	40	40
40	transistor_n_mosfet	D	40	0
41		G	0	20
42		S	40	40
43	transistor_p_mosfet	D	40	0
44		G	0	20
45		S	40	40
46	transistor_p_jfet	D	40	0
47		G	0	20
48		S	40	40
49	transistor_npn	C	40	0
50		B	0	20
51		E	40	40
52	transistor_npn_darlington	C	60	0
53		B	0	20
54		E	60	60
55	transistor_pnp	C	40	0
56		B	0	20
57		E	40	40
58	transistor_pnp_darlington	C	60	60
59		B	0	40
60		E	60	0
61	dip8	P1	0	20
62		P2	0	40
63		P3	0	60
64		P4	0	80
65		P5	60	80
66		P6	60	60
67		P7	60	40
68		P8	60	20
69	dip8_opamp_single	OFS1	0	20
70		IN-	0	40
71		IN+	0	60
72		V-	0	80
73		OFS2	60	80
74		OUT	60	60
75		V+	60	40
76		NC1	60	20
77	dip8_opamp_dual	P1	0	20
78		P2	0	40
79		P3	0	60
80		P4	0	80
81		P5	60	80
82		P6	60	60
83		P7	60	40
84		P8	60	20
85	opamp_triangle_3pin	IN+	0	20
86		IN-	0	60
87		OUT	80	40
88	transistor_p_regulator	I	0	20
89		G	20	40
90		O	40	20
91	transistor_n_regulator	I	0	20
92		G	20	40
93		O	40	20
94	inductor	A	20	0
95		B	20	60
96	dip4	P1	0	20
97		P2	0	40
98		P3	60	40
99		P4	60	20
100	dip6	P1	0	20
101		P2	0	40
102		P3	0	60
103		P4	60	60
104		P5	60	40
105		P6	60	20
106	dip10	P1	0	20
107		P2	0	40
108		P3	0	60
109		P4	0	80
110		P5	0	100
111		P6	60	100
112		P7	60	80
113		P8	60	60
114		P9	60	40
115		P10	60	20
116	dip12	P1	0	20
117		P2	0	40
118		P3	0	60
119		P4	0	80
120		P5	0	100
121		P6	0	120
122		P7	60	120
123		P8	60	100
124		P9	60	80
125		P10	60	60
126		P11	60	40
127		P12	60	20
128	dip14	P1	0	20
129		P2	0	40
130		P3	0	60
131		P4	0	80
132		P5	0	100
133		P6	0	120
134		P7	0	140
135		P8	60	140
136		P9	60	120
137		P10	60	100
138		P11	60	80
139		P12	60	60
140		P13	60	40
141		P14	60	20
142	dip16	P1	0	20
143		P2	0	40
144		P3	0	60
145		P4	0	80
146		P5	0	100
147		P6	0	120
148		P7	0	140
149		P8	0	160
150		P9	60	160
151		P10	60	140
152		P11	60	120
153		P12	60	100
154		P13	60	80
155		P14	60	60
156		P15	60	40
157		P16	60	20
